"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00003229",13.3126631305675,-3.47355622587755,0.68233508804308,-5.09068973111088,3.56763388968477e-07,1.44566729790705e-05
"WBGene00020091",3.50699554802732,-4.08373376374851,1.33894641948104,-3.04996055430756,0.002288714237534,0.0180551048194339
"WBGene00021763",4.10250349827519,-4.31696851732074,1.31981401057001,-3.27089156710519,0.00107209008751535,0.0102256077937868
"WBGene00021005",2.17408497071591,-4.43000440512196,1.46605089275472,-3.02172620815226,0.0025133776820014,0.0194280521295938
"WBGene00003156",6.40188943786962,-4.05548527134786,1.12259484883438,-3.61259921650165,0.00030314305788048,0.00356343299029234
"WBGene00021035",6.36001420021366,-4.97872729141539,1.27290772449775,-3.9113025992358,9.17996699560828e-05,0.00140257856391917
"WBGene00002144",2.77365083195563,-3.72684052215586,1.38754991711916,-2.68591455786582,0.00723315828789363,0.044309037249031
"WBGene00004217",7.99260416116521,-2.9570441230926,0.771577151723274,-3.83246719590933,0.000126864520278565,0.00180712692204664
"WBGene00000867",2.79688553900776,-3.73234258626356,1.39697168421187,-2.67173818084168,0.00754594992516423,0.0452479570880252
"WBGene00022830",4.53327704332806,-3.5121524506092,1.16164756450093,-3.02342341854614,0.00249932277468276,0.0194114068833694
"WBGene00016564",1.98163301783961,-4.30579205702242,1.54063260069341,-2.79482081262234,0.00519284889539154,0.0338781461935344
"WBGene00019011",2.60781570435886,-4.69253746135384,1.40599588045125,-3.33751864183826,0.000845300512251484,0.00835000522959877
"WBGene00001860",7.34849205207699,-2.24681425778476,0.70578551152401,-3.18342360547072,0.00145544514007488,0.012762532384205
"WBGene00015312",5.05978944749883,-5.64983670688054,1.28974588149497,-4.38058131291081,1.18363111942367e-05,0.000253386802989083
"WBGene00000474",16.4532448220339,-2.21601564951398,0.476241692403254,-4.6531324007592,3.26930174995068e-06,8.88705192361592e-05
"WBGene00000473",43.2252028374268,-2.7335875193119,0.356142757577348,-7.6755387022526,1.64724910199508e-14,6.71665821338495e-12
"WBGene00002073",17.357949367325,-3.44606513385307,0.593611104264946,-5.80525719464135,6.4267274984844e-09,6.07651742030612e-07
"WBGene00022586",2.45639950147855,-4.60751464567457,1.42108663615615,-3.24224753681258,0.00118590968234678,0.0109061045907953
"WBGene00000386",7.79210119450882,-2.34735709720291,0.696758520611064,-3.36896791035186,0.000754502124371511,0.00764343456428531
"WBGene00001599",4.75104862187174,-2.46285376727234,0.919246209355826,-2.67921014218619,0.00737960644889469,0.0449949088528869
"WBGene00003184",4.23557660937822,-5.38831843434833,1.3201430520885,-4.08161708371217,4.47234376830492e-05,0.000742431825557794
"WBGene00000871",4.32650777103143,-2.79574581369601,1.03009769711973,-2.71405889122287,0.00664643495793018,0.0412180053854909
"WBGene00004110",6.16779906935728,-2.2129004626299,0.760922744442488,-2.90818020461624,0.00363538784376826,0.0261780025306227
"WBGene00011063",9.87513830344648,-4.09325112996842,0.918254684100096,-4.45764252646299,8.28659395877949e-06,0.000192390530203123
"WBGene00000496",12.4316607412447,-3.13230123054809,0.655468337440697,-4.7787224059949,1.7641255314338e-06,5.3037580493429e-05
"WBGene00001595",23.2361017881614,-2.90143316800061,0.465468602332416,-6.23335957240043,4.56536612695304e-10,6.07845890045747e-08
"WBGene00001647",2.92277749402624,-3.80325006103248,1.37480259191019,-2.76639721470712,0.00566794494081074,0.0362881970499011
"WBGene00000156",4.83555613982625,-2.48085738627798,0.92035428687016,-2.6955460757559,0.00702733580559194,0.0432512630147942
"WBGene00011352",6.59945567507075,-3.46330766209364,0.952369622126655,-3.63651630798558,0.000276350155062614,0.00336363509632182
"WBGene00011036",3.92409447778453,-5.28040631772088,1.32422130226417,-3.98755578745969,6.67575096977738e-05,0.00107310282390681
"WBGene00010621",13.1891285893351,-3.46820027271004,0.679118258185967,-5.10691655084367,3.27458272611005e-07,1.37485203553783e-05
"WBGene00007979",5.0347936264343,-2.56097167155643,0.907248248253939,-2.82279042862325,0.00476076803698035,0.0315642791394916
"WBGene00006324",5.74471016353055,-2.07896749761059,0.78134647933662,-2.66074981149935,0.00779668665837943,0.0462414397811522
"WBGene00014117",3.10657972106949,-3.89002474832591,1.36996543674962,-2.83950575976236,0.00451834793969769,0.0304207450553021
"WBGene00008780",9.28478916052897,-3.19838521395958,0.753061674003078,-4.2471756621975,2.16482225243349e-05,0.000408187872106245
"WBGene00003026",9.22745950302946,-3.19218757726707,0.761328175598312,-4.19291926869565,2.75387468087892e-05,0.000501851352459611
"WBGene00010609",7.79232786781805,-5.27988420370786,1.25354144000202,-4.21197419983128,2.53148463763428e-05,0.000465344972821656
"WBGene00011489",3.51886369719226,-4.08702356703882,1.34086582351891,-3.04804813080627,0.00230333032402706,0.018148462601392
"WBGene00005023",5.92727775030429,-2.8267018342981,0.873700917336724,-3.2353197509677,0.00121506576086781,0.0110251585867894
"WBGene00011986",3.39110713100141,-4.0252317320314,1.35171887040847,-2.97786161024372,0.00290267013457293,0.0216918899862014
"WBGene00007709",23.2266009531649,-6.87877305125547,1.21749526054688,-5.6499382578012,1.60505475836594e-08,1.20360657972177e-06
"WBGene00011908",1.8680341416234,-4.21472679270243,1.54856458727343,-2.72169906721381,0.00649472553108667,0.0405469754687171
"WBGene00018625",2.28768384693212,-4.50973438597872,1.44735998142472,-3.11583465333864,0.00183425089656663,0.015460791794833
"WBGene00004915",7.15032992514392,-2.18197236214486,0.731079883491233,-2.98458815707657,0.00283960362956974,0.0213066075424019
"WBGene00006793",4.25647047670701,-3.41762608023606,1.16955069643311,-2.92217010400586,0.00347601640364156,0.0252815284474443
"WBGene00009553",3.69677112640517,-3.18485264669896,1.19718771179378,-2.66027843029478,0.00780760788321086,0.0462600172258092
"WBGene00021191",2.1567855190498,-4.42214894890628,1.46166593964406,-3.02541697727672,0.00248290560273315,0.019353018103024
"WBGene00021056",3.80443474723536,-3.24286588606209,1.19199922988892,-2.72052682984056,0.00651779824402605,0.040573373947942
"WBGene00006817",2.28768384693212,-4.50973438597872,1.44735998142472,-3.11583465333864,0.00183425089656663,0.015460791794833
"WBGene00017134",3.81840101798059,-4.20724531904688,1.33880787588656,-3.14253104931941,0.00167493947749633,0.014433259463898
"WBGene00077732",5.07533904558156,-4.64120306060259,1.29342568219529,-3.58830284916348,0.0003328375381711,0.00388449391597184
"WBGene00019606",6.72670828837675,-3.50241983022504,0.955909166264761,-3.66396719879863,0.000248338602160572,0.00310763838894985
"WBGene00018302",3.20637602143598,-3.94911461905542,1.35813086462883,-2.90775706664667,0.00364031009604282,0.0261845458286476
"WBGene00016627",2.31463856859388,-4.52129888627336,1.43997103209486,-3.13985405643599,0.00169032020635525,0.0145100645082391
"WBGene00016274",5.51081963280789,-5.7713640998047,1.28030130811625,-4.50781707651015,6.54980059790986e-06,0.000158850926025145
"WBGene00017548",7.32242811698883,-2.50219084711947,0.733992106783178,-3.40901601528887,0.000651976520387597,0.00690502405683228
"WBGene00011350",3.32808493625892,-5.04507435082724,1.35738978821662,-3.71674694669364,0.000201804387273065,0.00262788786940016
"WBGene00007433",7.90404409652477,-2.38147312379233,0.699851987293104,-3.40282397854356,0.000666932323890559,0.00704056064896765
"WBGene00006739",4.76527612735879,-2.45930755971033,0.919177865399347,-2.67555132938483,0.0074606447817924,0.0451223532131469
"WBGene00009404",3.05495981855567,-3.87643649118091,1.36748319129757,-2.83472331934307,0.0045865389098119,0.0306488899969664
"WBGene00009898",2.85231290845739,-4.82928603151039,1.39276454246744,-3.46741023644584,0.000525499221265397,0.00568550069574701
"WBGene00009897",3.21603129143163,-3.95210001637663,1.35476833752106,-2.91717772472313,0.0035321444972008,0.0255757055490988
"WBGene00004241",22.1196486546443,-6.80739907032482,1.21598918217592,-5.59823982820594,2.16539061022717e-08,1.56966759345801e-06
"WBGene00007225",2.89978550511715,-4.84530361952764,1.37886604864218,-3.51397702793465,0.000441450988028218,0.0049655624929243
"WBGene00003231",9.12051288635724,-4.58526598403647,1.09494536869309,-4.18766644906619,2.81837312054188e-05,0.000510751839955979
"WBGene00007331",5.38117446179386,-2.6700429028147,0.889320058202192,-3.00234193324317,0.00267911064683854,0.0203712329370334
"WBGene00007332",5.91860118895167,-5.87676907393994,1.27416272160715,-4.6122594659867,3.98315348660579e-06,0.000104782634462162
"WBGene00009365",4.84137469508724,-2.98078305024679,0.996025502462422,-2.99267743936029,0.00276541858589779,0.0208573304675112
"WBGene00011038",6.15839777793369,-3.99226863634258,1.12826218096591,-3.53842280960333,0.000402524951478162,0.00461524215016438
"WBGene00000411",6.60971603350412,-2.06140170912629,0.713544905086442,-2.88895862675463,0.00386519925778634,0.0272086856595421
"WBGene00011464",4.98030639993587,-3.65675537704964,1.1496529367468,-3.18074721523981,0.0014689574596229,0.0128292884425432
