"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00022277",1,1,0,1,1,1
"WBGene00022276",5,3,1,5,6,7
"WBGene00022278",6,7,3,5,1,1
"WBGene00022279",0,1,2,7,2,1
"WBGene00022275",0,0,0,0,0,0
"WBGene00044345",3,0,2,2,0,0
"WBGene00021677",3,0,3,3,2,0
"WBGene00021678",0,0,0,1,1,1
"WBGene00000812",3,7,3,1,1,4
"WBGene00021683",0,2,4,1,0,0
"WBGene00021679",0,1,1,0,0,0
"WBGene00021682",2,1,1,1,1,0
"WBGene00021676",4,1,0,1,1,0
"WBGene00189949",0,0,0,1,0,0
"WBGene00021681",13,10,2,3,0,3
"WBGene00004274",12,26,19,20,15,15
"WBGene00004418",86,91,77,72,61,53
"WBGene00018774",0,0,0,0,0,1
"WBGene00018773",0,0,0,1,1,1
"WBGene00000622",0,0,0,0,0,2
"WBGene00004962",0,0,0,2,4,2
"WBGene00003229",25,25,34,1,1,4
"WBGene00018772",0,0,0,0,0,0
"WBGene00018771",0,0,0,0,0,0
"WBGene00271776",0,0,0,0,0,0
"WBGene00000253",1,2,1,1,1,2
"WBGene00004225",0,1,0,0,0,1
"WBGene00018958",1,0,0,1,0,1
"WBGene00018957",2,1,3,0,0,0
"WBGene00018955",1,0,0,1,0,1
"WBGene00000227",4,2,1,1,2,1
"WBGene00021666",0,0,0,0,0,0
"WBGene00255594",0,0,0,0,0,0
"WBGene00306121",0,0,0,0,0,0
"WBGene00021671",0,0,0,0,0,0
"WBGene00021667",0,0,0,0,0,0
"WBGene00021675",1,0,0,4,2,2
"WBGene00016903",0,0,2,0,0,0
"WBGene00016905",3,1,0,0,1,1
"WBGene00016902",5,0,1,2,0,1
"WBGene00016906",0,1,0,1,0,0
"WBGene00002077",34,43,40,16,16,11
"WBGene00002079",13,12,11,6,5,1
"WBGene00021660",2,3,1,1,1,1
"WBGene00000917",1,0,1,2,1,1
"WBGene00021661",7,2,2,1,0,0
"WBGene00021658",3,1,0,0,0,0
"WBGene00021657",1,0,0,0,1,0
"WBGene00020091",7,8,8,1,0,0
"WBGene00020088",3,0,3,1,1,2
"WBGene00020089",2,0,1,0,0,3
"WBGene00004143",42,31,55,28,19,30
"WBGene00006385",2,2,1,1,1,0
"WBGene00020090",1,2,0,1,0,0
"WBGene00021733",1,2,4,2,2,4
"WBGene00021734",0,0,0,0,0,0
"WBGene00015570",0,0,0,0,0,0
"WBGene00006593",4,2,2,0,3,1
"WBGene00021026",2,2,3,0,2,1
"WBGene00021027",0,0,0,0,0,0
"WBGene00021025",0,0,0,0,0,0
"WBGene00235388",0,0,0,0,0,0
"WBGene00021028",1,0,0,0,0,0
"WBGene00021024",1,3,2,3,5,2
"WBGene00001814",2,1,1,2,3,3
"WBGene00022035",0,0,0,0,0,0
"WBGene00022036",6,0,1,3,0,1
"WBGene00022034",11,13,15,13,4,3
"WBGene00022039",5,1,6,1,3,2
"WBGene00022037",37,19,27,9,7,4
"WBGene00022038",0,0,0,1,0,0
"WBGene00022033",0,0,0,0,0,0
