"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00022032",1.62573307921311,4.35408634042241,1.65579583589042,2.62960338831928,0.0085484534019918,0.049184083313064
"WBGene00021212",1.99685528732188,4.64906095012751,1.51328213680305,3.07217063960663,0.0021250820522105,0.0172652992635384
"WBGene00004969",11.2327629947054,6.1595175353797,1.23668436602426,4.98067065825498,6.3364295958144e-07,2.24667753712463e-05
"WBGene00022162",2.02273016478773,4.66129596029275,1.51499547764945,3.07677219441265,0.00209255154331574,0.0171289915540676
"WBGene00001196",5.93448309769578,2.04069297159137,0.721215512638132,2.82951896601159,0.0046618036841342,0.0309710867976492
"WBGene00021007",6.15482403860967,6.27481634301294,1.28505340331152,4.88292262939662,1.04524892104684e-06,3.3592137738471e-05
"WBGene00021471",1.63388121376842,4.35926304850601,1.64107072366597,2.65635294423381,0.00789908939140886,0.0462600172258092
"WBGene00022281",7.89146110294176,4.72583060710234,1.12267673365364,4.20943132198223,2.56014245319975e-05,0.000469167678783011
"WBGene00022282",6.87648076431682,6.43469063888947,1.28146957794419,5.02133702558305,5.13130319335408e-07,1.90208079735466e-05
"WBGene00006047",2.36654702163073,4.89281853912434,1.44545209363826,3.38497454233085,0.000711848562135742,0.00730726976090873
"WBGene00019461",1.83116663687793,4.51986753914849,1.56812496919949,2.88233886196955,0.00394734974743856,0.0274547012284533
"WBGene00021271",2.7228034344288,5.09668134855025,1.40932207040542,3.61640639537,0.0002987212687008,0.00353694656443561
"WBGene00017978",4.38255952566307,5.78012441964809,1.31369699971298,4.39989161953705,1.08304956578956e-05,0.000238709978621997
"WBGene00017975",2.37469515618603,4.89595782674966,1.4472277523635,3.38299056161269,0.000717010964133161,0.00733194283699803
"WBGene00020990",14.9362393590464,7.55047434124701,1.22359346351369,6.17073772163259,6.79720947025852e-10,8.52788357383973e-08
"WBGene00021128",5.50268442913051,2.71429199625657,0.835795059600592,3.24755688021615,0.00116400395506393,0.0108265619478933
"WBGene00021639",1.82301850232262,4.51547054659704,1.58794654296478,2.84359103056858,0.00446082647232555,0.03009558625176
"WBGene00021650",2.18984928903161,4.77956570666053,1.47276492762296,3.24530114549559,0.00117326476044766,0.0108265619478933
"WBGene00017026",1.99685528732188,4.64906095012751,1.51328213680305,3.07217063960663,0.0021250820522105,0.0172652992635384
"WBGene00020187",6.35882712247456,6.32003649430933,1.2751129383618,4.956452329963,7.17919710992098e-07,2.46890926142085e-05
"WBGene00020627",1.80914847256761,4.50787327526073,1.59144526890384,2.83256569568721,0.00461760764919508,0.03070873833165
"WBGene00006820",11.9916059548204,2.56191557219876,0.556182977344628,4.60624592365278,4.10003473978751e-06,0.000106994506569495
"WBGene00003061",4.2449767384113,2.65582077601603,0.939515627020352,2.8267978728985,0.00470159941898877,0.0312036974664117
"WBGene00021113",10.6168733787145,7.05528829641643,1.23885129592357,5.69502435008283,1.23354314812456e-08,9.58051845043411e-07
"WBGene00021114",4.69204270914558,3.92326733202137,1.17913330973825,3.32724663074124,0.000877087091373841,0.00859176604222664
"WBGene00017671",4.38393144437962,2.72529958299784,0.932890624308163,2.92134952585565,0.00348518585820336,0.0253199916914462
"WBGene00006058",2.36654702163073,4.89281853912434,1.44545209363826,3.38497454233085,0.000711848562135742,0.00730726976090873
"WBGene00016330",2.01744297783227,4.65881495900087,1.52216458767164,3.06065125725148,0.00220856174245312,0.0175056165898821
"WBGene00016327",1.6463207697235,4.36694778401627,1.66146129702753,2.62837767682524,0.00857932047980792,0.049184083313064
"WBGene00015094",5.1372434978357,6.00667522755581,1.29943462980545,4.62252974468989,3.79088433908495e-06,0.000100535485480448
"WBGene00018594",2.57484152689539,5.00918094541615,1.4358121404848,3.4887439687791,0.000485295736221014,0.00533907147235395
"WBGene00004965",4.57169681421727,5.84026332887847,1.31247129368326,4.44982176523544,8.59415823317124e-06,0.000194681556643087
"WBGene00016040",1.99542481352195,4.6483484265114,1.5190898204547,3.05995627376401,0.00221369308501728,0.0175056165898821
"WBGene00017858",14.8853886393892,5.6619156944421,1.0721243264008,5.2810253018412,1.28462946616267e-07,6.70473810979619e-06
