Geneid	Chr	Start	End	Strand	Length	fm_1	fm_2	fm_3	m_4	m_5	m_6
WBGene00022277	I	4116	10230	-	6115	1	1	0	1	1	1
WBGene00022276	I	11495	16837	+	5343	5	3	1	5	6	7
WBGene00022278	I	17484	26781	-	9298	6	7	3	5	1	1
WBGene00022279	I	27589	33150	-	5562	0	1	2	7	2	1
WBGene00022275	I	43733	44677	+	945	0	0	0	0	0	0
WBGene00044345	I	47461	49860	+	2400	3	0	2	2	0	0
WBGene00021677	I	49921	54426	+	4506	3	0	3	3	2	0
WBGene00021678	I	55293	64066	-	8774	0	0	0	1	1	1
WBGene00000812	I	71425	81156	+	9732	3	7	3	1	1	4
WBGene00021683	I	81193	91296	+	10104	0	2	4	1	0	0
WBGene00021679	I	83992	86293	-	2302	0	1	1	0	0	0
WBGene00021682	I	91404	92720	+	1317	2	1	1	1	1	0
WBGene00021676	I	93022	94884	+	1863	4	1	0	1	1	0
WBGene00189949	I	94829	95312	-	484	0	0	0	1	0	0
WBGene00021681	I	96459	108223	-	11765	13	10	2	3	0	3
WBGene00004274	I	108682	110057	-	1376	12	26	19	20	15	15
WBGene00004418	I	111038	112417	+	1380	86	91	77	72	61	53
WBGene00018774	I	112285	113751	+	1467	0	0	0	0	0	1
WBGene00018773	I	113807	114708	+	902	0	0	0	1	1	1
WBGene00000622	I	115687	117498	+	1812	0	0	0	0	0	2
WBGene00004962	I	118093	120901	+	2809	0	0	0	2	4	2
WBGene00003229	I	127285	134270	+	6986	25	25	34	1	1	4
WBGene00018772	I	134337	137282	+	2946	0	0	0	0	0	0
WBGene00018771	I	137845	144565	+	6721	0	0	0	0	0	0
WBGene00271776	I	144811	146514	+	1704	0	0	0	0	0	0
WBGene00000253	I	145968	154855	-	8888	1	2	1	1	1	2
WBGene00004225	I	160172	169763	-	9592	0	1	0	0	0	1
WBGene00018958	I	171223	176040	+	4818	1	0	0	1	0	1
WBGene00018957	I	178524	182161	+	3638	2	1	3	0	0	0
WBGene00018955	I	182068	182772	-	705	1	0	0	1	0	1
WBGene00000227	I	183364	208384	+	25021	4	2	1	1	2	1
WBGene00021666	I	209281	211738	+	2458	0	0	0	0	0	0
WBGene00255594	I	217928	219137	+	1210	0	0	0	0	0	0
WBGene00306121	I	231578	234427	-	2850	0	0	0	0	0	0
WBGene00021671	I	233174	237853	-	4680	0	0	0	0	0	0
WBGene00021667	I	252107	254294	+	2188	0	0	0	0	0	0
WBGene00021675	I	254254	259157	-	4904	1	0	0	4	2	2
WBGene00016903	I	280114	286113	+	6000	0	0	2	0	0	0
WBGene00016905	I	286040	289185	-	3146	3	1	0	0	1	1
WBGene00016902	I	291215	305477	+	14263	5	0	1	2	0	1
WBGene00016906	I	305811	310790	-	4980	0	1	0	1	0	0
WBGene00002077	I	310981	314989	-	4009	34	43	40	16	16	11
WBGene00002079	I	318549	323352	-	4804	13	12	11	6	5	1
WBGene00021660	I	323855	330987	+	7133	2	3	1	1	1	1
WBGene00000917	I	332604	337845	+	5242	1	0	1	2	1	1
WBGene00021661	I	343069	348424	-	5356	7	2	2	1	0	0
WBGene00021658	I	347469	348357	+	889	3	1	0	0	0	0
WBGene00021657	I	348460	357236	+	8777	1	0	0	0	1	0
WBGene00020091	I	364510	368579	+	4070	7	8	8	1	0	0
